Using device: cuda

[Data Distribution] Real: 2558  Fake: 7674  Total: 10232
[Val set] 6094 videos
[Manipulation types] ['real', 'faceswap', 'faceswap-wav2lip', 'fsgan', 'fsgan-wav2lip', 'rtvc', 'wav2lip', 'video_retalking', 'unknown_fake']

[DataLoader] batch_size=8 num_workers=4
Starting Stage A Training (frozen backbone, cached features)...
  Batch 1050/1279 | Loss: 1.0209 (bce=0.5760 aux_ce=1.1123)
  Batch 1060/1279 | Loss: 0.9519 (bce=0.6973 aux_ce=0.6364)
  Batch 1070/1279 | Loss: 1.1292 (bce=0.8080 aux_ce=0.8029)
  Batch 1080/1279 | Loss: 0.3522 (bce=0.1665 aux_ce=0.4643)
  Batch 1090/1279 | Loss: 1.1093 (bce=0.7570 aux_ce=0.8806)
  Batch 1100/1279 | Loss: 0.5679 (bce=0.3449 aux_ce=0.5576)
  Batch 1110/1279 | Loss: 0.6323 (bce=0.1705 aux_ce=1.1546)
  Batch 1120/1279 | Loss: 0.4039 (bce=0.3337 aux_ce=0.1755)
  Batch 1130/1279 | Loss: 0.5000 (bce=0.2168 aux_ce=0.7081)
  Batch 1140/1279 | Loss: 0.6422 (bce=0.4308 aux_ce=0.5286)
  Batch 1150/1279 | Loss: 0.6480 (bce=0.5312 aux_ce=0.2921)
  Batch 1160/1279 | Loss: 0.3338 (bce=0.0756 aux_ce=0.6455)
  Batch 1170/1279 | Loss: 0.6958 (bce=0.4376 aux_ce=0.6457)
  Batch 1180/1279 | Loss: 0.3557 (bce=0.1344 aux_ce=0.5533)
  Batch 1190/1279 | Loss: 0.4123 (bce=0.2779 aux_ce=0.3361)
  Batch 1200/1279 | Loss: 1.1999 (bce=0.9083 aux_ce=0.7289)
  Batch 1210/1279 | Loss: 0.3315 (bce=0.1477 aux_ce=0.4596)
  Batch 1220/1279 | Loss: 0.3682 (bce=0.2261 aux_ce=0.3553)
  Batch 1230/1279 | Loss: 0.4832 (bce=0.1379 aux_ce=0.8633)
  Batch 1240/1279 | Loss: 1.0061 (bce=0.7034 aux_ce=0.7565)
  Batch 1250/1279 | Loss: 1.9721 (bce=1.6195 aux_ce=0.8813)
  Batch 1260/1279 | Loss: 1.1498 (bce=0.6829 aux_ce=1.1673)
  Batch 1270/1279 | Loss: 0.9037 (bce=0.4908 aux_ce=1.0324)
Epoch 1 | Train Loss: 0.9146 | Train Acc: 0.8088 | Val AUC: 0.9651
Saved checkpoint: models\stageA_checkpoint_epoch1.pth
  New best val AUC: 0.9651 - saved stageA_best_model.pth
  Batch 10/1279 | Loss: 0.4942 (bce=0.3727 aux_ce=0.3038)
  Batch 20/1279 | Loss: 0.2587 (bce=0.1180 aux_ce=0.3517)
  Batch 30/1279 | Loss: 0.2061 (bce=0.0675 aux_ce=0.3465)
  Batch 40/1279 | Loss: 0.5526 (bce=0.3500 aux_ce=0.5064)
  Batch 50/1279 | Loss: 0.9989 (bce=0.8298 aux_ce=0.4228)
  Batch 60/1279 | Loss: 0.2534 (bce=0.0419 aux_ce=0.5288)
  Batch 70/1279 | Loss: 0.1004 (bce=0.0244 aux_ce=0.1900)
  Batch 80/1279 | Loss: 0.3606 (bce=0.1801 aux_ce=0.4513)
  Batch 90/1279 | Loss: 0.3940 (bce=0.2743 aux_ce=0.2992)
  Batch 100/1279 | Loss: 0.7806 (bce=0.4320 aux_ce=0.8713)
  Batch 110/1279 | Loss: 0.3362 (bce=0.2499 aux_ce=0.2157)
  Batch 120/1279 | Loss: 0.2555 (bce=0.1302 aux_ce=0.3133)
  Batch 130/1279 | Loss: 0.3690 (bce=0.2533 aux_ce=0.2893)
  Batch 140/1279 | Loss: 0.4461 (bce=0.3303 aux_ce=0.2895)
  Batch 150/1279 | Loss: 0.2433 (bce=0.1507 aux_ce=0.2314)
  Batch 160/1279 | Loss: 1.4825 (bce=1.1599 aux_ce=0.8066)
  Batch 170/1279 | Loss: 0.2078 (bce=0.1070 aux_ce=0.2520)
  Batch 180/1279 | Loss: 0.2268 (bce=0.1769 aux_ce=0.1248)
  Batch 190/1279 | Loss: 0.8598 (bce=0.6220 aux_ce=0.5945)
  Batch 200/1279 | Loss: 0.8231 (bce=0.6089 aux_ce=0.5356)
  Batch 210/1279 | Loss: 0.4923 (bce=0.2693 aux_ce=0.5574)
  Batch 220/1279 | Loss: 0.7792 (bce=0.4918 aux_ce=0.7185)
  Batch 230/1279 | Loss: 0.3608 (bce=0.1497 aux_ce=0.5277)
  Batch 240/1279 | Loss: 0.4325 (bce=0.1762 aux_ce=0.6408)
  Batch 250/1279 | Loss: 0.3371 (bce=0.1744 aux_ce=0.4068)
  Batch 260/1279 | Loss: 0.6231 (bce=0.3873 aux_ce=0.5895)
  Batch 270/1279 | Loss: 1.4455 (bce=1.1564 aux_ce=0.7226)
  Batch 280/1279 | Loss: 0.7341 (bce=0.4873 aux_ce=0.6170)
  Batch 290/1279 | Loss: 0.2598 (bce=0.1123 aux_ce=0.3687)
  Batch 300/1279 | Loss: 0.4632 (bce=0.1288 aux_ce=0.8361)
  Batch 310/1279 | Loss: 0.7469 (bce=0.5568 aux_ce=0.4753)
  Batch 320/1279 | Loss: 0.4900 (bce=0.3017 aux_ce=0.4706)
  Batch 330/1279 | Loss: 0.2700 (bce=0.1877 aux_ce=0.2058)
  Batch 340/1279 | Loss: 1.0157 (bce=0.6948 aux_ce=0.8023)
  Batch 350/1279 | Loss: 0.6943 (bce=0.4352 aux_ce=0.6477)
  Batch 360/1279 | Loss: 2.2402 (bce=1.7708 aux_ce=1.1735)
  Batch 370/1279 | Loss: 0.9142 (bce=0.5605 aux_ce=0.8843)
  Batch 380/1279 | Loss: 0.8143 (bce=0.6225 aux_ce=0.4795)
