Using device: cuda

[Data Distribution] Real: 1016  Fake: 3048  Total: 4064
[Val set] 5459 videos
[Manipulation types] ['real', 'faceswap', 'faceswap-wav2lip', 'fsgan', 'fsgan-wav2lip', 'rtvc', 'wav2lip', 'video_retalking', 'unknown_fake']

[DataLoader] batch_size=8 num_workers=4
Starting Stage A Training (frozen backbone, cached features)...
  Batch 450/508 | Loss: 0.1396 (bce=0.0678 aux_ce=0.1796)
  Batch 460/508 | Loss: 0.3035 (bce=0.0509 aux_ce=0.6314)
  Batch 470/508 | Loss: 0.2226 (bce=0.1537 aux_ce=0.1722)
  Batch 480/508 | Loss: 0.1564 (bce=0.0207 aux_ce=0.3393)
  Batch 490/508 | Loss: 0.1597 (bce=0.0873 aux_ce=0.1811)
  Batch 500/508 | Loss: 0.3518 (bce=0.0060 aux_ce=0.8644)
Epoch 3 | Train Loss: 0.3612 | Train Acc: 0.9577 | Val AUC: 0.9937
Saved checkpoint: models\stageA_checkpoint_epoch3.pth
  New best val AUC: 0.9937 - saved stageA_best_model.pth
  Batch 10/508 | Loss: 0.1635 (bce=0.0143 aux_ce=0.3730)
  Batch 20/508 | Loss: 0.4658 (bce=0.2362 aux_ce=0.5740)
  Batch 30/508 | Loss: 0.0271 (bce=0.0167 aux_ce=0.0260)
  Batch 40/508 | Loss: 0.7267 (bce=0.3795 aux_ce=0.8680)
  Batch 50/508 | Loss: 0.2519 (bce=0.0556 aux_ce=0.4907)
  Batch 60/508 | Loss: 0.0405 (bce=0.0086 aux_ce=0.0797)
  Batch 70/508 | Loss: 0.8953 (bce=0.6502 aux_ce=0.6127)
  Batch 80/508 | Loss: 0.1283 (bce=0.0081 aux_ce=0.3004)
  Batch 90/508 | Loss: 0.0322 (bce=0.0115 aux_ce=0.0519)
  Batch 100/508 | Loss: 0.0345 (bce=0.0296 aux_ce=0.0124)
  Batch 110/508 | Loss: 0.2109 (bce=0.0185 aux_ce=0.4809)
  Batch 120/508 | Loss: 0.1320 (bce=0.0609 aux_ce=0.1778)
  Batch 130/508 | Loss: 0.3870 (bce=0.2044 aux_ce=0.4565)
  Batch 140/508 | Loss: 0.2887 (bce=0.0177 aux_ce=0.6775)
  Batch 150/508 | Loss: 0.1027 (bce=0.0215 aux_ce=0.2029)
  Batch 160/508 | Loss: 0.0515 (bce=0.0137 aux_ce=0.0946)
  Batch 170/508 | Loss: 0.3078 (bce=0.1770 aux_ce=0.3271)
  Batch 180/508 | Loss: 0.0749 (bce=0.0246 aux_ce=0.1258)
  Batch 190/508 | Loss: 0.3718 (bce=0.0081 aux_ce=0.9093)
  Batch 200/508 | Loss: 0.0512 (bce=0.0338 aux_ce=0.0434)
  Batch 210/508 | Loss: 0.1391 (bce=0.0245 aux_ce=0.2867)
  Batch 220/508 | Loss: 0.0534 (bce=0.0337 aux_ce=0.0493)
  Batch 230/508 | Loss: 0.0971 (bce=0.0104 aux_ce=0.2166)
  Batch 240/508 | Loss: 0.0830 (bce=0.0334 aux_ce=0.1240)
  Batch 250/508 | Loss: 0.7187 (bce=0.5018 aux_ce=0.5422)
  Batch 260/508 | Loss: 0.1925 (bce=0.0416 aux_ce=0.3774)
  Batch 270/508 | Loss: 0.1686 (bce=0.0072 aux_ce=0.4035)
  Batch 280/508 | Loss: 0.4594 (bce=0.2424 aux_ce=0.5424)
  Batch 290/508 | Loss: 0.1339 (bce=0.0438 aux_ce=0.2252)
