Using device: cuda

[Data Distribution] Real: 2786  Fake: 8358  Total: 11144
[Val set] 10786 videos
[Manipulation types] ['real', 'faceswap', 'faceswap-wav2lip', 'fsgan', 'fsgan-wav2lip', 'rtvc', 'wav2lip', 'video_retalking', 'unknown_fake']

[DataLoader] batch_size=8 num_workers=4
Starting Stage A Training (frozen backbone, cached features)...
  Batch 1220/1393 | Loss: 0.3202 (bce=0.2432 aux_ce=0.1925)
  Batch 1230/1393 | Loss: 0.1218 (bce=0.0771 aux_ce=0.1116)
  Batch 1240/1393 | Loss: 1.3604 (bce=0.9532 aux_ce=1.0180)
  Batch 1250/1393 | Loss: 0.1296 (bce=0.0891 aux_ce=0.1014)
  Batch 1260/1393 | Loss: 0.3341 (bce=0.1156 aux_ce=0.5462)
  Batch 1270/1393 | Loss: 0.4895 (bce=0.2294 aux_ce=0.6503)
  Batch 1280/1393 | Loss: 0.1703 (bce=0.0848 aux_ce=0.2139)
  Batch 1290/1393 | Loss: 0.7998 (bce=0.6138 aux_ce=0.4649)
  Batch 1300/1393 | Loss: 0.6999 (bce=0.5067 aux_ce=0.4830)
  Batch 1310/1393 | Loss: 0.2424 (bce=0.0873 aux_ce=0.3877)
  Batch 1320/1393 | Loss: 0.5024 (bce=0.2360 aux_ce=0.6660)
  Batch 1330/1393 | Loss: 0.4145 (bce=0.2351 aux_ce=0.4486)
  Batch 1340/1393 | Loss: 0.3171 (bce=0.1112 aux_ce=0.5146)
  Batch 1350/1393 | Loss: 0.1861 (bce=0.1215 aux_ce=0.1617)
  Batch 1360/1393 | Loss: 1.7238 (bce=1.1233 aux_ce=1.5012)
  Batch 1370/1393 | Loss: 0.5921 (bce=0.2479 aux_ce=0.8605)
  Batch 1380/1393 | Loss: 0.6864 (bce=0.4786 aux_ce=0.5196)
  Batch 1390/1393 | Loss: 0.9238 (bce=0.7076 aux_ce=0.5403)
Epoch 1 | Train Loss: 0.8460 | Train Acc: 0.8358 | Val AUC: 0.9846
Saved checkpoint: models\stageA_checkpoint_epoch1.pth
  New best val AUC: 0.9846 - saved stageA_best_model.pth
  Batch 10/1393 | Loss: 0.5808 (bce=0.4554 aux_ce=0.3135)
  Batch 20/1393 | Loss: 0.5414 (bce=0.2852 aux_ce=0.6404)
  Batch 30/1393 | Loss: 0.5573 (bce=0.4123 aux_ce=0.3626)
  Batch 40/1393 | Loss: 0.6432 (bce=0.3833 aux_ce=0.6496)
  Batch 50/1393 | Loss: 0.5138 (bce=0.3479 aux_ce=0.4149)
  Batch 60/1393 | Loss: 0.2890 (bce=0.0610 aux_ce=0.5701)
  Batch 70/1393 | Loss: 1.4693 (bce=1.1894 aux_ce=0.6999)
  Batch 80/1393 | Loss: 0.5114 (bce=0.3841 aux_ce=0.3183)
